Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Loss,Train_Val_Accuracy_Gap
Baseline CNN,0.9779693484306335,0.9833119511604308,0.9871134161949158,0.9852090166683444,0.5334939956665039,0.7532051205635071,0.7185184955596924,0.9948717951774596,0.8344085867769634,27.765493392944336,0.025370717048645
Improved CNN,0.3515325784683227,0.9900990128517152,0.128865972161293,0.2280501598101205,1.0330078601837158,0.4326923191547394,0.875,0.1076923087239265,0.1917808235536084,1.0190573930740356,0.3222805261611938
Improved CNN V2 (Fixed),0.7432950139045715,0.7432950139045715,1.0,0.8527472492906009,0.6059732437133789,0.625,0.625,1.0,0.7692307692307693,0.7271206378936768,-0.12856072187423706
