Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Loss,Train_Val_Accuracy_Gap,Val_Acc_Improvement,Test_Acc_Improvement
Baseline CNN,0.9779693484306335,0.9833119511604308,0.9871134161949158,0.9852090166683444,0.5334939956665039,0.7532051205635071,0.7185184955596924,0.9948717951774596,0.8344085867769634,27.765493392944336,0.025370717048645,,
Improved CNN,0.35153257846832275,0.9900990128517151,0.12886597216129303,0.22805015981012056,1.0330078601837158,0.4326923191547394,0.875,0.10769230872392654,0.19178082355360843,1.0190573930740356,0.32228052616119385,-0.6264367699623108,-0.3205128014087677
